,Overall Rank,School,State,Undergrad. Enrollment,Admission Rate,Student/faculty Ratio,4-year Grad. Rate,6-year Grad. Rate,Quality Rank,Total Costs,Cost After Need-based Aid,Need Met,Aid From Grants,Cost After Non-Need-Based Aid,Non-Need-Based Aid+,Average Debt,Cost Rank,SAT,ACT
0,1.0,California Institute of Technology,CA,0.04489522730783092,0.109375,0.0,0.797752808988764,0.6296296296296297,10.0,0.7649948695625136,0.23387306260282276,1.0,0.9041095890410958,0.3540427257977285,0.1414141414141414,0.36304355530354043,4.0,0.9803921568627451,1.0
1,2.0,Rice University,TX,0.14004015857488544,0.15625,0.14285714285714285,0.7640449438202247,0.7777777777777778,19.0,0.630297565374211,0.39830288336652525,1.0,0.8356164383561644,0.4846876690102758,0.3333333333333333,0.4502604812701563,5.0,0.7843137254901961,0.8222222222222222
3,4.0,Swarthmore College,PA,0.07269731761313906,0.15625,0.35714285714285715,0.9662921348314607,0.8888888888888888,4.0,0.9513696713410653,0.5111697982509308,1.0,0.7945205479452054,0.11239183342347214,0.010101010101010102,0.4521742212141617,21.0,0.8823529411764706,0.9555555555555556
5,6.0,Webb Institute,NY,0.0,0.4375,0.2857142857142857,0.8876404494382022,0.5555555555555556,39.0,0.0,0.0,0.0,1.0,0.0,1.0,0.20200588297834637,1.0,1.0,1.0
7,8.0,Washington and Lee University,VA,0.08664984811821037,0.265625,0.5714285714285714,0.9662921348314607,0.7777777777777778,30.0,0.6885979913559902,0.42743960516061996,0.9875,0.821917808219178,0.47268793942671716,0.30303030303030304,0.5540631534181522,9.0,0.7843137254901961,0.7555555555555555
13,14.0,Emory University,GA,0.3210111723214745,0.4375,0.2857142857142857,0.9213483146067416,0.7037037037037037,15.0,0.907714312365909,0.6094899991341242,1.0,0.6301369863013698,0.5251487290427258,0.18181818181818182,0.6263954353758373,54.0,0.7843137254901961,0.8666666666666667
15,16.0,Duke University,NC,0.31606857848941977,0.171875,0.5714285714285714,0.9887640449438202,0.9259259259259259,11.0,0.9950250303162215,0.6241665945103472,1.0,0.726027397260274,0.6260140616549487,0.050505050505050504,0.7096785625686642,68.0,0.8235294117647058,0.8666666666666667
16,17.0,Davidson College,NC,0.08124388611440045,0.3125,0.5,1.0,0.8518518518518519,27.0,0.8279282360623115,0.6873322365572777,1.0,0.7534246575342466,0.6946660356949702,0.3434343434343434,0.4854165928341071,37.0,0.7254901960784313,0.7555555555555555
20,21.0,Northwestern University,IL,0.40565309169541264,0.296875,0.2857142857142857,0.9325842696629213,0.8888888888888888,17.0,0.9557538633748951,0.6406182353450515,1.0,0.7123287671232876,0.9619726879394267,0.1111111111111111,0.5156820356522663,74.0,0.7647058823529411,0.8222222222222222
21,22.0,Bowdoin College,ME,0.0818617103434073,0.171875,0.5,0.9325842696629213,0.8148148148148148,25.0,0.9509654550542582,0.527924495627327,1.0,0.7945205479452054,1.0,0.030303030303030304,0.5424743948683418,58.0,0.7450980392156863,0.8222222222222222
23,24.0,Johns Hopkins University,MD,0.20825825052772487,0.328125,0.35714285714285715,0.9101123595505618,0.7407407407407407,29.0,0.9672895743291564,0.5871936964239328,0.9375,0.726027397260274,0.5451257436452136,0.08080808080808081,0.48197894886061593,48.0,0.7058823529411765,0.8444444444444444
24,25.0,Cooper Union,NY,0.043762549554651704,0.0,0.2857142857142857,0.6404494382022472,0.37037037037037035,61.0,0.20437797332172508,0.24192570785349382,0.9,0.4794520547945205,0.2222147106544078,1.0,0.3278165644824042,3.0,0.6274509803921569,0.6222222222222222
25,26.0,Washington University,MO,0.36822324048808114,0.15625,0.2857142857142857,0.8426966292134831,0.6666666666666666,16.0,0.9693106557631914,0.6546454238462205,1.0,0.7397260273972602,0.7606138453217955,0.18181818181818182,0.0,87.0,0.8627450980392157,0.9555555555555556
27,28.0,Claremont McKenna College,CA,0.04927148226329609,0.21875,0.2857142857142857,0.9213483146067416,0.6666666666666666,37.0,0.9219551630857249,0.5372326608364361,1.0,0.8082191780821918,0.7940440778799351,0.23232323232323232,0.5994258780167984,41.0,0.7843137254901961,0.8888888888888888
28,29.0,University of Notre Dame,IN,0.4218709777068424,0.3125,0.6428571428571429,0.9887640449438202,1.0,36.0,0.8492584185815117,0.5382284180448523,1.0,0.6438356164383562,0.6160424553812872,0.04040404040404041,0.9070772938299606,45.0,0.6666666666666666,0.8
30,31.0,The Colorado College,CO,0.09447562168563044,0.609375,0.42857142857142855,0.8089887640449438,0.4074074074074074,57.0,0.8456204720002487,0.47350419949779204,0.9375,0.8356164383561644,0.39095457003785833,0.2222222222222222,0.4784349860013467,10.0,0.3333333333333333,0.3333333333333333
31,32.0,University of Richmond,VA,0.15090356793492252,0.421875,0.5,0.8876404494382022,0.5925925925925926,48.0,0.7338080283573272,0.5199151441683263,0.95,0.726027397260274,0.4444294213088156,0.3939393939393939,0.5711096147712372,12.0,0.49019607843137253,0.6222222222222222
34,35.0,Carleton College,MN,0.09602018225814755,0.328125,0.42857142857142855,0.9213483146067416,0.6666666666666666,34.0,0.8460246882870558,0.6969434583080786,1.0,0.6164383561643836,0.8412993510005409,0.16161616161616163,0.5153985186235248,56.0,0.7647058823529411,0.7555555555555555
35,36.0,Lafayette College,PA,0.11496679194769088,0.34375,0.5714285714285714,0.8876404494382022,0.5925925925925926,47.0,0.8592394515095924,0.41423499870118624,0.925,1.0,0.5736546782044348,0.16161616161616163,0.615940744940993,19.0,0.27450980392156865,0.5111111111111111
37,38.0,Grinnell College,IA,0.07300622972764248,0.796875,0.5,0.8764044943820225,0.5925925925925926,55.0,0.7269985386026554,0.47649147112304097,1.0,0.6712328767123288,0.5149067063277447,0.6464646464646465,0.4909806145231598,17.0,0.7450980392156863,0.6666666666666666
44,45.0,Kenyon College,OH,0.07769139679761108,0.59375,0.42857142857142855,0.898876404494382,0.5925925925925926,51.0,0.876651845402817,0.5336392761278033,0.975,0.7945205479452054,0.5781503515413737,0.3838383838383838,0.7389162561576355,32.0,0.7450980392156863,0.5777777777777777
47,48.0,Macalester College,MN,0.09128352983576173,0.46875,0.5,0.797752808988764,0.3333333333333333,58.0,0.7701253070489101,0.46822235691401853,1.0,0.726027397260274,0.653731746890211,0.25252525252525254,0.0,29.0,0.7450980392156863,0.7333333333333333
48,49.0,Barnard College,NY,0.11481233589043917,0.3125,0.5,0.8089887640449438,0.5925925925925926,46.0,0.9284848107956842,0.5302190665858516,1.0,0.7534246575342466,0.8660762574364521,0.0707070707070707,0.49721798915547366,42.0,0.7647058823529411,0.7333333333333333
